14 {'loss': 0.29610035002231599, 'acc': 0.79049133658409121}
15 {'loss': 0.29004689157009123, 'acc': 0.79304113268852239}
16 {'loss': 0.28980691894888877, 'acc': 0.79087723970413204}
17 {'loss': 0.28392035588622094, 'acc': 0.79256749689579009}
18 {'loss': 0.28130806460976598, 'acc': 0.79432994484901431}
19 {'loss': 0.27765992254018784, 'acc': 0.79586267411708833}
20 {'loss': 0.2764170144498348, 'acc': 0.79673828244209288}
21 {'loss': 0.27408411443233488, 'acc': 0.79698118150234221}
22 {'loss': 0.27340912118554117, 'acc': 0.79753602623939512}
23 {'loss': 0.26898598581552507, 'acc': 0.79890811502933501}
24 {'loss': 0.27022846147418023, 'acc': 0.79956227958202364}
25 {'loss': 0.26573671013116834, 'acc': 0.80035886168479919}
26 {'loss': 0.26465599194169043, 'acc': 0.79978140890598293}
27 {'loss': 0.26377976790070534, 'acc': 0.79990495622158053}
28 {'loss': 0.26269600480794908, 'acc': 0.80077203631401062}
29 {'loss': 0.26340746641159057, 'acc': 0.80056631803512568}
30 {'loss': 0.26287461534142492, 'acc': 0.80115698695182802}
31 {'loss': 0.26081692934036255, 'acc': 0.8023923701047897}
32 {'loss': 0.26126014322042468, 'acc': 0.80174027204513554}
33 {'loss': 0.2557488687336445, 'acc': 0.80457524776458744}
34 {'loss': 0.25370049372315406, 'acc': 0.80352439045906066}
35 {'loss': 0.25751185804605486, 'acc': 0.80240168213844298}
36 {'loss': 0.25407359823584558, 'acc': 0.80375098705291748}
37 {'loss': 0.25328446462750437, 'acc': 0.80429269909858703}
38 {'loss': 0.25312796950340272, 'acc': 0.80440946578979489}
39 {'loss': 0.2563986271619797, 'acc': 0.80246383428573609}
40 {'loss': 0.25351693019270899, 'acc': 0.80307448744773868}
41 {'loss': 0.25145650282502174, 'acc': 0.80420896351337434}
42 {'loss': 0.25456076666712762, 'acc': 0.80431711852550503}
43 {'loss': 0.2505386996269226, 'acc': 0.8059042638540268}
44 {'loss': 0.24925752550363542, 'acc': 0.80513578832149502}
45 {'loss': 0.24764060080051423, 'acc': 0.80500748634338382}
46 {'loss': 0.2477761574089527, 'acc': 0.80664954185485838}
47 {'loss': 0.24986067846417426, 'acc': 0.80570198118686676}
48 {'loss': 0.24797226756811142, 'acc': 0.8045622938871384}
49 {'loss': 0.24293593361973762, 'acc': 0.80576462328433995}
50 {'loss': 0.24112031698226929, 'acc': 0.80732333600521089}
51 {'loss': 0.24518319740891456, 'acc': 0.80698485076427462}
52 {'loss': 0.24588880807161331, 'acc': 0.80692330181598659}
53 {'loss': 0.24388052433729171, 'acc': 0.8072486108541489}
54 {'loss': 0.24422501310706138, 'acc': 0.80692195296287539}
55 {'loss': 0.24122976154088974, 'acc': 0.80858705401420594}
56 {'loss': 0.24213566645979881, 'acc': 0.80816978573799136}
57 {'loss': 0.23920955568552016, 'acc': 0.80762957870960239}
58 {'loss': 0.24049938783049585, 'acc': 0.80875685036182399}
59 {'loss': 0.24311516761779786, 'acc': 0.80712392389774323}
60 {'loss': 0.23857105612754823, 'acc': 0.80947702169418334}
61 {'loss': 0.24216349437832832, 'acc': 0.80910730481147763}
62 {'loss': 0.23997289091348648, 'acc': 0.80842221379280088}
63 {'loss': 0.23838947847485542, 'acc': 0.80904401063919062}
64 {'loss': 0.23697309762239457, 'acc': 0.80871776103973392}
65 {'loss': 0.24139572218060493, 'acc': 0.80802693605422971}
66 {'loss': 0.23674942106008529, 'acc': 0.80946617245674135}
67 {'loss': 0.23746740192174912, 'acc': 0.80866153776645655}
68 {'loss': 0.23451769649982451, 'acc': 0.8109289848804474}
69 {'loss': 0.23834290638566016, 'acc': 0.80916547179222109}
70 {'loss': 0.23764783188700675, 'acc': 0.81030925512313845}
71 {'loss': 0.23196932747960092, 'acc': 0.81210692286491393}
72 {'loss': 0.23906915977597237, 'acc': 0.80981333196163174}
